customer_id,age,gender,loyalty_member
19033,47,Female,0
1402,77,Male,0
14264,36,Male,0
9976,36,Female,0
19471,54,Female,0
5015,34,Male,0
15639,18,Male,0
2022,37,Male,0
17677,76,Female,1
16418,76,Male,0
11269,65,Male,0
4910,77,Female,0
2839,47,Male,0
7907,32,Female,0
11990,18,Female,0
17211,41,Female,0
16405,65,Female,1
14449,53,Male,0
4426,32,Female,0
18070,70,Male,1
16863,33,Male,0
9479,50,Female,1
4399,25,Male,1
18200,31,Male,0
3255,55,Female,0
2164,29,Female,0
19882,22,Male,0
17974,61,Female,0
11809,36,Female,0
11351,78,Female,0
18352,78,Male,0
13636,57,Male,0
11827,39,Female,1
17930,74,Male,0
1234,58,Male,0
14793,41,Male,0
16885,79,Male,0
13932,38,Female,0
4902,47,Male,0
2621,30,Female,0
13934,44,Male,0
15385,23,Female,0
11631,47,Male,0
13413,24,Female,0
16731,53,Female,1
9331,38,Male,0
12883,51,Female,0
19341,36,Male,1
6276,57,Female,0
2671,78,Male,0
5128,57,Female,0
5838,34,Female,1
11209,53,Female,0
17128,34,Female,0
6964,45,Male,0
1038,56,Female,0
2082,19,Male,1
18014,28,Female,0
18883,53,Male,1
4335,56,Male,1
6574,42,Male,0
11730,78,Male,0
17311,31,Male,0
14815,78,Female,0
17250,78,Male,0
16990,23,Female,0
2859,63,Female,0
19984,62,Male,0
9507,63,Female,1
15491,66,Female,1
18662,43,Male,0
7055,58,Male,0
6557,60,Male,1
3294,26,Female,0
6548,65,Male,0
8493,43,Female,0
7812,78,Female,0
18955,55,Female,0
3704,74,Male,0
12532,51,Male,0
8917,58,Male,1
9202,58,Male,0
11578,65,Female,0
6678,35,Female,0
3001,22,Female,0
4048,68,Male,0
4679,73,Female,0
7766,24,Female,0
3593,72,Female,0
6281,21,Female,1
1375,45,Female,0
6139,49,Female,0
12441,68,Male,0
12550,55,Male,0
1673,43,Male,1
6071,57,Male,1
12109,56,Male,0
15245,40,Male,0
13435,59,Male,0
2486,65,Female,0
18690,73,Female,0
16513,75,Female,0
15345,66,Female,0
18871,33,Male,0
4436,75,Female,1
17729,19,Female,1
2460,72,Male,1
6231,59,Male,1
17192,69,Female,1
19182,80,Male,0
3420,69,Male,1
3165,28,Male,0
14021,61,Male,0
4391,47,Female,0
17701,39,Female,0
5070,18,Female,1
15480,31,Male,0
12134,72,Male,0
19339,64,Female,0
7440,52,Male,1
14289,43,Female,0
15125,60,Male,0
12700,40,Female,1
19969,67,Male,0
14521,19,Female,0
15941,68,Male,0
16911,74,Female,0
6397,30,Male,1
5828,52,Female,0
4442,71,Male,0
19772,48,Female,0
1698,42,Female,0
14633,30,Female,0
9100,18,Male,0
15394,40,Male,0
2587,28,Female,0
2879,55,Male,0
1197,77,Female,0
4791,46,Male,0
16509,53,Male,0
3393,50,Male,0
12151,25,Male,0
12473,50,Male,0
15088,27,Female,1
13870,60,Male,0
18398,26,Female,0
